x y
290.6958515672605 492.5729721309471
693.6358089316931 1404.7259272350034
201.29321103048173 786.2266083977215
603.2307434080408 997.9296815238232
1009.8269392713421 1289.8648033636764
1389.165049600626 1506.4308274303903
598.3208718966287 1011.5687679395738
392.90924692882527 601.966918809737
1402.6620738785707 1493.855055580058
303.1106188952315 499.17424924003876
596.6720562586119 1006.6939589342819
1493.398036589315 1199.6738287467392
1413.5594801924433 1495.297660577551
1484.8155322388518 1197.7322958027892
314.28274063774836 490.5870101282834
310.81331605369655 517.9891005304613
189.86507154688405 796.9808524041941
397.6874616773994 602.5211798110562
698.0829712464388 1416.9655817299997
695.7109758891237 1410.059577245227
99.3372460536837 189.7660833092883
1018.128222497294 1294.241801457179
701.5027538762798 1393.42203589775
411.95377200372496 604.3429737551846
891.6325919370252 695.6833500927152
1007.5059161973857 1306.6956570640323
100.49194939556754 204.93240080377697
214.97449044784096 799.8265836477971
404.45291303380833 597.2753021066108
595.2297195103145 1003.6992067769672
101.00919734585955 194.9552117010467
591.1934892816126 990.102882089321
409.26732469101717 590.900738478812
1505.389962117946 1196.7187454954005
312.77184384886556 500.50508863158467
1011.940929900054 1299.1519589859658
1488.9438320433546 1187.518375031377
596.3282994631788 1006.8610731931805
901.5024400471996 691.8762426459516
393.15691398114285 599.3089745202892
607.8819620959897 990.468968169136
693.8893247054567 1405.7453809976257
1000.71298545915 1295.7398267296674
991.7598204501087 1309.8351152495657
1508.8588771221364 1191.6930826856203
86.05830811623773 210.84475090907145
1009.8606101909844 1323.1355101002075
712.6595230403358 1415.890491446954
401.27865454710707 611.3643241754901
902.1116646594421 704.0750988641083
911.6828817077375 688.8500586889718
903.8285958445442 710.2826407091655
87.43291547569858 194.27792066924968
704.875547808996 1390.4516107178088
295.1260146362499 502.84577056167586
713.4853893310946 1402.0973827950993
898.3051386923196 683.0600145844103
206.38301816085146 802.1412511444497
604.631620768118 988.6066423428595
389.8169530346432 606.2681996098797
1500.2305475596604 1190.488098368854
707.836846755704 1409.5557528223478
87.33598052455983 202.14138932866786
1000.6882552558355 1302.3733975760738
323.385477066398 503.13014327286083
118.43650855861715 195.23650760927285
305.76243943113275 502.97304820271245
901.6694179898144 687.2843061542835
1401.52665896836 1487.9876453996426
300.6068070902043 503.0520665132205
201.5804421374201 798.8162052565476
1398.621171523361 1498.166862622262
1384.2688636318503 1503.5440652493262
99.49796571391951 195.26056554079443
1395.9656739158572 1506.07827909082
883.2204763258161 696.5584574396262
218.37737732126982 799.3971404427105
1480.8258598889245 1221.206634578157
402.0277944517755 616.0240530328592
601.214297450406 1011.0323134600756
1497.0377837648189 1207.0885407003443
984.6728358579954 1304.5418181760738
1491.8921098153687 1206.246597999468
1404.6027167278482 1490.4763805176458
997.7042304962499 1306.8280614642272
201.54448192977154 787.5965400476363
85.87496436202102 194.64730789757346
1404.507296551141 1495.22738577952
1497.0797265741255 1186.5404988491734
183.9097857143603 800.3578535796012
206.0956483047184 798.2531198319059
706.2656292437014 1380.587151241534
202.21876962918208 803.0992988039625
909.4516492114171 705.9133195873496
611.4588617850851 1017.094665214534
392.6145286024217 607.7788941104156
309.10046511773726 501.7288747778318
1399.2146682299585 1503.2342096603354
904.006887023565 703.9129536885325
95.98679804167406 202.52986312460678
